city,latitude,longitude,max_temp,humidity,cloudiness,windspeed,country,date
Badarpur,24.9,92.6,56.37,71,0,2.75,IN,1609375899
Codrington,-38.27,141.97,62.28,67,7,17.76,AU,1609375900
Young,-32.68,-57.63,70.0,46,0,4.0,UY,1609375901
Takoradze,4.88,-1.76,79.74,86,100,7.29,GH,1609375902
Huarmey,-10.07,-78.15,69.53,82,100,6.04,PE,1609375903
Port Lincoln,-34.73,135.87,66.02,70,46,17.74,AU,1609375904
Morehead,37.27,-87.18,42.8,81,90,10.29,US,1609375906
Manggar,-2.88,108.27,78.39,84,100,14.16,ID,1609375907
Khovd,48.01,91.64,-5.94,78,0,0.36,MN,1609375911
Leshukonskoye,64.9,45.76,5.31,94,100,6.42,RU,1609375913
Zhangaözen,43.3,52.8,28.36,88,0,14.29,KZ,1609375914
Broome,42.25,-75.83,36.0,85,90,14.99,US,1609375915
Funadhoo,6.15,73.27,82.62,76,99,16.31,MV,1609375916
Bubaque,11.28,-15.83,79.09,75,0,13.29,GW,1609375917
Vryburg,-26.96,24.73,71.28,73,100,3.78,ZA,1609375919
Oranjemund,-28.55,16.43,61.68,90,9,11.21,NA,1609375920
Matagami,49.75,-77.63,19.4,100,90,10.29,CA,1609375649
Burnie,-41.07,145.92,70.0,53,15,5.99,AU,1609375922
Tongliao,43.61,122.27,-4.54,85,0,12.17,CN,1609375923
Lethem,3.38,-59.8,78.66,76,31,5.01,GY,1609375924
Mitzic,0.78,11.55,69.06,99,100,2.51,GA,1609375927
São Filipe,14.9,-24.5,74.82,75,79,7.81,CV,1609375928
Presidencia Roque Sáenz Peña,-26.79,-60.44,80.01,59,87,8.01,AR,1609375929
Narganá,9.44,-78.59,78.76,79,10,9.4,PA,1609375930
Cherskiy,68.75,161.3,-37.12,83,100,4.27,RU,1609375931
Hantsport,45.07,-64.17,27.0,73,90,4.7,CA,1609375932
Zhangye,38.93,100.45,14.09,71,83,10.02,CN,1609375933
Vardø,70.37,31.11,29.12,94,96,12.59,NO,1609375935
Gejiu,23.31,103.16,37.6,97,98,3.8,CN,1609375936
Gölköy,40.69,37.62,42.8,70,0,2.24,TR,1609375937
La Ronge,55.1,-105.28,3.2,84,77,1.68,CA,1609375938
Tete,-16.16,33.59,78.8,78,40,4.7,MZ,1609375864
Alto Araguaia,-17.31,-53.22,73.2,78,55,2.55,BR,1609375940
Christchurch,-43.53,172.63,64.4,59,100,14.99,NZ,1609375941
Abhar,36.15,49.22,26.71,81,0,2.08,IR,1609375943
Sulangan,11.14,123.72,82.74,79,98,18.3,PH,1609375944
Santa Cruz de la Sierra,-17.8,-63.17,77.0,94,75,4.7,BO,1609375717
Kuril'sk,45.23,147.88,21.33,91,100,18.77,RU,1609375946
Astoria,46.19,-123.83,51.01,93,90,14.99,US,1609375871
Hearst,49.68,-83.67,21.2,92,100,5.82,CA,1609375948
Pangoa,-12.12,-73.0,70.52,95,100,0.96,PE,1609375949
Anking,30.51,117.05,29.03,73,0,5.14,CN,1609375951
Prince Rupert,54.32,-130.32,42.8,100,90,3.36,CA,1609375952
Boyolangu,-8.12,111.89,79.52,78,100,3.78,ID,1609375954
Caarapó,-22.63,-54.82,74.08,80,25,4.07,BR,1609375848
Aripuanã,-9.17,-60.63,73.47,97,100,2.15,BR,1609375956
Bar Harbor,44.39,-68.2,39.99,69,40,9.17,US,1609375957
Dunedin,-45.87,170.5,60.91,77,100,12.82,NZ,1609375857
Stuttgart,48.78,9.18,36.0,80,40,2.24,DE,1609375715
Herat Province,34.5,62.0,28.92,79,100,7.34,AF,1609375961
Norman Wells,65.28,-126.83,-2.2,77,90,6.93,CA,1609375962
Dombarovskiy,50.76,59.54,5.2,91,100,4.79,RU,1609375963
Pimenta Bueno,-11.67,-61.19,74.97,90,100,3.69,BR,1609375964
Águilas,37.41,-1.58,42.01,58,0,1.99,ES,1609375966
Katangli,51.71,143.23,-11.63,81,11,14.45,RU,1609375967
Swan Hill,-35.34,143.55,82.36,39,36,7.45,AU,1609375968
Natal,-5.79,-35.21,78.8,83,40,12.75,BR,1609375969
Vavoua,7.38,-6.48,71.62,33,0,3.58,CI,1609375971
Ilo,-17.64,-71.34,70.74,78,100,0.94,PE,1609375973
Maykor,59.01,55.88,-0.47,92,100,4.07,RU,1609375974
Itarema,-2.92,-39.92,80.24,79,52,13.91,BR,1609375975
Montepuez,-13.13,39.0,68.68,97,87,1.97,MZ,1609375976
Sicuani,-14.27,-71.23,51.55,70,100,5.61,PE,1609375977
Lafiagi,8.87,5.42,77.09,27,39,2.89,NG,1609375978
Lavrentiya,65.58,-171.0,24.1,97,100,7.23,RU,1609375980
Praia,14.92,-23.51,73.4,78,40,20.8,CV,1609375981
Luga,58.74,29.85,33.35,94,100,6.96,RU,1609375982
Stara Vyzhivka,51.44,24.44,38.43,94,100,7.07,UA,1609375983
Preeceville,51.95,-102.67,6.3,93,22,6.26,CA,1609375984
Batavia,41.85,-88.31,25.0,73,90,16.11,US,1609375957
Budogoshch',59.28,32.47,33.37,93,100,8.43,RU,1609375989
Piacenza,45.05,9.7,32.0,92,0,4.12,IT,1609375990
Balabac,7.99,117.06,82.15,76,25,6.58,PH,1609375991
Dudinka,69.41,86.18,-5.8,53,0,4.47,RU,1609375992
Mount Gambier,-37.83,140.77,66.2,52,90,18.34,AU,1609375995
Maricá,-22.92,-42.82,86.0,79,0,3.36,BR,1609375997
City of San Pedro,14.35,121.02,80.6,65,75,5.82,PH,1609375998
Bida,9.08,6.02,77.05,29,100,4.23,NG,1609375999
Arlit,18.74,7.39,65.01,23,42,5.32,NE,1609376000
Āreka,7.07,37.7,62.71,71,93,2.19,ET,1609376001
Ortaköy,38.74,34.04,28.4,86,0,8.05,TR,1609376003
Yelniki,54.62,43.88,22.75,97,100,9.48,RU,1609376004
Mulegé,26.88,-111.98,57.67,47,0,18.84,MX,1609376006
Ossora,59.24,163.07,12.16,93,100,19.64,RU,1609376007
San Jose,37.34,-121.89,55.0,55,100,1.99,US,1609375740
Cabo San Lucas,22.89,-109.91,66.0,51,20,13.87,MX,1609376010
São José da Coroa Grande,-8.9,-35.15,77.77,84,56,8.86,BR,1609376011
Preston,53.77,-2.72,28.99,90,46,4.0,GB,1609376012
‘Ewa Beach,21.32,-158.01,84.2,48,40,9.17,US,1609376013
Strezhevoy,60.73,77.59,-16.6,75,75,4.47,RU,1609376014
Antofagasta,-23.65,-70.4,66.2,82,20,11.41,CL,1609375767
Phalia,32.43,73.58,44.24,51,0,2.3,PK,1609376017
Atasū,48.68,71.64,-5.53,92,100,3.6,KZ,1609376018
Bambous Virieux,-20.34,57.76,77.0,88,40,14.99,MU,1609376019
Taltal,-25.4,-70.48,65.73,71,8,2.75,CL,1609376020
Bria,6.54,21.99,73.09,36,97,3.69,CF,1609376021
Iskateley,67.68,53.15,-21.06,85,0,10.04,RU,1609376024
Northam,51.03,-4.22,39.0,87,92,4.0,GB,1609376025
Marawi,8.0,124.29,81.0,80,100,1.99,PH,1609376026
Hirara,24.8,125.28,55.4,66,75,12.75,JP,1609376027
Lodja,-3.48,23.43,69.22,96,100,0.85,CD,1609376028
Buchanan,5.88,-10.05,78.84,85,94,6.11,LR,1609376029
Nizhniy Kislyay,50.85,40.17,31.82,98,100,11.77,RU,1609376030
Faya,18.39,42.45,55.4,87,0,4.7,SA,1609376032
Ballina,-28.87,153.57,80.6,65,0,12.75,AU,1609376033
Acheng,45.55,126.98,-9.4,69,0,8.95,CN,1609376034
Hauterive,46.09,3.45,35.6,69,0,13.87,FR,1609376036
Homer,59.64,-151.55,37.4,86,75,4.27,US,1609376038
Mangan,27.52,88.53,53.58,33,0,5.68,IN,1609376039
Waddān,29.16,16.14,54.72,36,0,3.78,LY,1609376041
Dabola,10.75,-11.12,71.19,32,0,0.92,GN,1609376042
Cache Creek,50.81,-121.32,33.8,86,90,20.8,CA,1609376044
Ahtopol,42.1,27.95,53.6,87,0,2.24,BG,1609376045
College,64.86,-147.8,10.99,77,75,2.21,US,1609375890
Deputatsky,69.3,139.9,-23.1,87,93,4.34,RU,1609376047
Goderich,43.75,-81.72,35.6,88,100,20.8,CA,1609376048
Chu,43.6,73.76,7.34,95,0,1.1,KZ,1609376051
Manokwari,-0.87,134.08,83.97,68,40,3.56,ID,1609376052
Hammerfest,70.66,23.68,30.2,80,0,27.51,NO,1609376053
Krasnoborsk,61.56,45.93,6.15,94,100,4.63,RU,1609376054
Tommot,58.96,126.29,-13.14,86,100,8.97,RU,1609376055
Chumikan,54.72,135.31,-23.31,79,0,15.12,RU,1609376056
Kitale,1.02,35.01,56.5,81,3,1.95,KE,1609376057
Gambo,4.65,22.26,70.65,53,100,0.96,CF,1609376059
Makkah al Mukarramah,21.43,39.83,74.5,74,0,3.69,SA,1609376060
Viedma,-40.81,-63.0,54.0,72,0,5.12,AR,1609376061
Manta,-0.95,-80.73,75.2,78,0,6.93,EC,1609376062
Basoko,1.24,23.62,71.62,90,8,2.13,CD,1609376063
Libreville,0.39,9.45,82.4,83,40,5.82,GA,1609376064
Amga,60.9,131.96,-36.47,79,35,1.1,RU,1609376065
Orissaare,58.56,23.08,36.0,86,100,3.0,EE,1609376067
Yumen,40.28,97.2,15.12,81,77,17.22,CN,1609376068
Charters Towers,-20.1,146.27,81.36,69,100,7.16,AU,1609376069
Cabedelo,-6.98,-34.83,77.0,88,0,8.05,BR,1609375892
Sochaczew,52.23,20.24,36.0,10,0,3.76,PL,1609375868
Abu Kamal,34.45,40.92,47.98,50,0,3.0,SY,1609376072
Luocheng,29.38,104.03,39.24,80,95,3.06,CN,1609376073
Bathsheba,13.22,-59.52,77.0,83,0,5.82,BB,1609376024
Bay City,43.59,-83.89,33.8,95,90,19.46,US,1609376076
Tautira,-17.73,-149.15,87.8,62,40,8.05,PF,1609376077
Buraidah,26.33,43.98,55.4,87,20,8.05,SA,1609376078
Inta,66.03,60.17,-23.89,81,0,1.9,RU,1609376079
Arman',59.7,150.17,-5.98,79,100,19.33,RU,1609376080
Kumba,4.64,9.45,74.82,88,100,0.27,CM,1609376081
Pachino,36.72,15.09,44.6,93,0,4.7,IT,1609376084
Garhwa,24.18,83.82,53.31,80,0,2.64,IN,1609376085
Alexandria,31.22,29.96,57.2,87,40,5.82,EG,1609376027
Scarborough,54.28,-0.4,30.0,86,2,1.01,GB,1609376087
Felipe Carrillo Puerto,19.58,-88.05,70.09,98,16,2.42,MX,1609376088
Novyy Urgal,51.07,132.56,-29.13,80,12,1.86,RU,1609376090
Brønnøysund,65.46,12.2,33.8,80,98,9.17,NO,1609376091
Patiya,22.29,91.98,55.44,77,0,3.91,BD,1609376092
Raudeberg,61.99,5.14,37.99,79,90,6.24,NO,1609376093
Cockburn Town,21.46,-71.14,77.0,69,40,13.87,TC,1609376094
Goulburn,-34.75,149.72,73.99,85,100,1.99,AU,1609376095
Prome,18.82,95.22,61.66,69,74,5.95,MM,1609375951
Esna,25.29,32.55,53.6,66,0,4.7,EG,1609376098
Imeni Poliny Osipenko,52.42,136.49,-22.34,84,10,4.34,RU,1609376099
Terme,41.21,36.97,41.0,48,0,2.24,TR,1609376100
Aksay,47.26,39.87,33.01,98,90,17.9,RU,1609376101
Kwakoa,-3.77,37.72,67.84,92,100,3.44,TZ,1609376102
Palmer,42.16,-72.33,36.0,59,75,6.93,US,1609375985
Dourados,-22.22,-54.81,74.35,82,8,2.17,BR,1609376106
Marsá Maţrūḩ,31.35,27.25,57.2,82,0,4.09,EG,1609376107
Teguise,29.06,-13.56,62.6,72,40,8.05,ES,1609375830
Saravan,39.72,45.65,17.6,85,0,6.93,AM,1609376109
Yakeshi,49.28,120.73,-21.6,83,12,5.53,CN,1609376110
Opotiki,-38.08,177.28,73.0,51,35,5.01,NZ,1609376111
Port Hueneme,34.15,-119.2,59.0,67,1,6.93,US,1609376113
Caucaia,-3.74,-38.65,81.0,83,75,10.29,BR,1609376114
Mahon,39.89,4.27,50.0,61,0,6.93,ES,1609376115
Ploufragan,48.49,-2.79,43.0,11,78,8.14,FR,1609376116
Mastic Beach,40.77,-72.85,45.0,70,1,14.99,US,1609376117
